REGION,WEEK,YEAR,TOTAL,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,SEASON
Michigan,42,2016,732.0,2.0,4.0,0.82,0.27,0.55,FALL
Minnesota,42,2016,296.0,3.0,0.0,1.01,1.01,0.0,FALL
Mississippi,42,2016,90.0,1.0,1.0,2.22,1.11,1.11,FALL
Missouri,42,2016,577.0,0.0,1.0,0.17,0.0,0.17,FALL
Montana,42,2016,111.0,1.0,0.0,0.9,0.9,0.0,FALL
Nebraska,42,2016,84.0,0.0,1.0,1.19,0.0,1.19,FALL
Nevada,42,2016,12.0,1.0,0.0,8.33,8.33,0.0,FALL
New Hampshire,42,2016,26.0,0.0,0.0,0.0,0.0,0.0,FALL
New Mexico,42,2016,171.0,0.0,1.0,0.58,0.0,0.58,FALL
New York,42,2016,1542.0,11.0,1.0,0.78,0.71,0.06,FALL
North Carolina,42,2016,216.0,4.0,4.0,3.7,1.85,1.85,FALL
North Dakota,42,2016,33.0,0.0,0.0,0.0,0.0,0.0,FALL
Ohio,42,2016,948.0,6.0,9.0,1.58,0.63,0.95,FALL
Oklahoma,42,2016,166.0,1.0,1.0,1.2,0.6,0.6,FALL
Oregon,42,2016,191.0,5.0,0.0,2.62,2.62,0.0,FALL
Pennsylvania,42,2016,286.0,0.0,0.0,0.0,0.0,0.0,FALL
South Carolina,42,2016,213.0,2.0,0.0,0.94,0.94,0.0,FALL
South Dakota,42,2016,113.0,1.0,0.0,0.88,0.88,0.0,FALL
Tennessee,42,2016,129.0,2.0,1.0,2.33,1.55,0.78,FALL
Texas,42,2016,1152.0,8.0,10.0,1.56,0.69,0.87,FALL
Utah,42,2016,439.0,4.0,0.0,0.91,0.91,0.0,FALL
Vermont,42,2016,65.0,0.0,0.0,0.0,0.0,0.0,FALL
Virginia,42,2016,191.0,0.0,0.0,0.0,0.0,0.0,FALL
Washington,42,2016,396.0,13.0,1.0,3.54,3.28,0.25,FALL
West Virginia,42,2016,363.0,0.0,0.0,0.0,0.0,0.0,FALL
Wisconsin,42,2016,507.0,2.0,0.0,0.39,0.39,0.0,FALL
Puerto Rico,42,2016,0.0,0.0,0.0,0.0,0.0,0.0,FALL
Alabama,43,2016,464.0,5.0,1.0,1.29,1.08,0.22,FALL
Arizona,43,2016,125.0,0.0,0.0,0.0,0.0,0.0,FALL
Arkansas,43,2016,31.0,0.0,0.0,0.0,0.0,0.0,FALL
California,43,2016,698.0,9.0,2.0,1.58,1.29,0.29,FALL
Colorado,43,2016,338.0,2.0,0.0,0.59,0.59,0.0,FALL
Connecticut,43,2016,271.0,0.0,0.0,0.0,0.0,0.0,FALL
Delaware,43,2016,72.0,0.0,0.0,0.0,0.0,0.0,FALL
Georgia,43,2016,638.0,5.0,3.0,1.25,0.78,0.47,FALL
Hawaii,43,2016,139.0,4.0,0.0,2.88,2.88,0.0,FALL
Idaho,43,2016,22.0,0.0,0.0,0.0,0.0,0.0,FALL
Illinois,43,2016,297.0,1.0,0.0,0.34,0.34,0.0,FALL
Indiana,43,2016,112.0,0.0,1.0,0.89,0.0,0.89,FALL
Iowa,43,2016,118.0,1.0,1.0,1.69,0.85,0.85,FALL
Kansas,43,2016,72.0,0.0,0.0,0.0,0.0,0.0,FALL
Kentucky,43,2016,276.0,0.0,1.0,0.36,0.0,0.36,FALL
Louisiana,43,2016,545.0,5.0,0.0,0.92,0.92,0.0,FALL
Maryland,43,2016,82.0,0.0,0.0,0.0,0.0,0.0,FALL
Massachusetts,43,2016,403.0,1.0,2.0,0.74,0.25,0.5,FALL
