YEAR,WEEK,ILITOTAL,TOTAL PATIENTS
2016,48,18,2918
2016,48,1995,92605
2016,48,30,5004
2016,48,142,14901
2016,48,44,4108
2016,48,17,4600
2016,48,466,4325
2016,48,26,796
2016,48,2464,102484
2016,49,212,7990
2016,49,10,1421
2016,49,396,23597
2016,49,54,4105
2016,49,1114,53691
2016,49,49,3892
2016,49,66,4045
2016,49,5,2822
2016,49,154,2968
2016,49,1486,52554
2016,49,42,1468
2016,49,14,2025
2016,49,894,47265
2016,49,74,5855
2016,49,13,3370
2016,49,102,6645
2016,49,169,23807
2016,49,1161,48060
2016,49,42,5432
2016,49,101,9271
2016,49,267,30650
2016,49,388,20837
2016,49,78,7075
2016,49,442,15806
2016,49,113,6773
2016,49,4,3080
2016,49,15,3214
2016,49,323,16781
2016,49,13,3894
2016,49,496,16404
2016,49,163,11145
2016,49,223,15314
2016,49,252,16435
2016,49,7,552
2016,49,201,19608
2016,49,175,5104
2016,49,52,4849
2016,49,208,14215
2016,49,18,5473
2016,49,110,5880
2016,49,85,8557
2016,49,246,10078
2016,49,816,26591
2016,49,335,24352
2016,49,12,2986
2016,49,2012,90373
2016,49,23,4352
2016,49,173,14455
2016,49,61,4090
2016,49,32,4196
2016,49,507,4513
2016,49,15,751
2016,49,2779,104228
2016,50,310,8063
2016,50,10,1462
2016,50,550,27097
2016,50,73,3725
2016,50,1190,50100
2016,50,53,3724
2016,50,70,4036
2016,50,4,2743
2016,50,216,2782
2016,50,1544,48929
2016,50,51,1370
2016,50,19,1372
2016,50,943,44978
2016,50,81,5201
2016,50,13,3572
2016,50,100,6571
2016,50,211,20168
2016,50,1302,48402
2016,50,27,4704
2016,50,120,8887
2016,50,313,30692
2016,50,365,21091
2016,50,76,6428
2016,50,554,15500
2016,50,136,7351
2016,50,6,3057
2016,50,16,3211
2016,50,266,18299
2016,50,18,3882
2016,50,575,15659
2016,50,175,10200
2016,50,208,14091
2016,50,294,13609
2016,50,0,534
2016,50,233,18161
2016,50,237,4653
2016,50,102,4638
2016,50,234,12723
2016,50,28,5322
2016,50,144,5382
2016,50,85,8060
2016,50,180,7964
2016,50,887,25991
2016,50,332,18071
2016,50,15,2665
2016,50,2072,89545
2016,50,58,4295
2016,50,175,13257
2016,50,34,3633
2016,50,57,4238
2016,50,445,4456
2016,50,18,698
2016,50,3020,100984
2016,51,347,6989
2016,51,19,1488
2016,51,591,23728
2016,51,48,2979
2016,51,1233,42838
2016,51,66,3790
2016,51,33,1829
2016,51,2,2545
2016,51,159,1889
2016,51,1928,45961
2016,51,28,976
2016,51,17,1402
2016,51,978,42500
2016,51,49,3371
2016,51,14,2197
2016,51,135,5676
2016,51,413,10956
2016,51,1618,48993
2016,51,31,4479
2016,51,142,8098
2016,51,340,28860
2016,51,348,16366
2016,51,121,5512
2016,51,722,15067
2016,51,127,5546
2016,51,16,2831
2016,51,27,2864
2016,51,283,16562
2016,51,20,3551
2016,51,646,15326
2016,51,199,9616
2016,51,389,12387
2016,51,268,9028
2016,51,14,478
2016,51,201,15583
2016,51,179,4074
2016,51,67,2885
2016,51,215,11079
2016,51,17,3776
2016,51,119,5612
2016,51,113,8314
2016,51,206,7170
2016,51,951,23177
2016,51,408,12364
2016,51,22,2295
2016,51,2552,88040
2016,51,73,2972
2016,51,246,16442
2016,51,45,2866
2016,51,66,3897
2016,51,632,5223
2016,51,7,671
2016,51,3896,105120
2016,52,345,6302
2016,52,17,1061
2016,52,479,18873
2016,52,66,2862
2016,52,1419,40243
2016,52,2,382
2016,52,38,1883
2016,52,2,1870
2016,52,106,1277
2016,52,2084,46418
2016,52,24,728
2016,52,31,1149
2016,52,1234,40207
2016,52,82,2439
2016,52,23,1604
2016,52,120,5271
2016,52,473,11110
2016,52,1938,52488
2016,52,31,2968
2016,52,148,6134
2016,52,315,20318
2016,52,366,15558
2016,52,105,4489
2016,52,730,17898
2016,52,224,5507
2016,52,4,1743
2016,52,24,2395
2016,52,390,18359
2016,52,5,2273
2016,52,894,15481
2016,52,183,9017
2016,52,537,9894
2016,52,194,5687
2016,52,3,836
2016,52,228,14454
2016,52,244,4000
2016,52,219,3785
2016,52,298,9513
2016,52,21,2682
2016,52,208,4882
2016,52,104,7368
2016,52,174,4914
2016,52,960,22198
2016,52,449,11524
2016,52,19,1969
2016,52,3203,93401
2016,52,91,2819
2016,52,476,19504
2016,52,22,1661
