YEAR,%UNWEIGHTED ILI,ILITOTAL,TOTAL PATIENTS
2016.0,1.84358,99.0,5370.0
2016.0,0.15273,4.0,2619.0
2016.0,0.572246,12.0,2097.0
2016.0,1.18386,198.0,16725.0
2016.0,0.356506,10.0,2805.0
2016.0,3.31243,470.0,14189.0
2016.0,1.3935,130.0,9329.0
2016.0,1.74806,194.0,11098.0
2016.0,1.95726,218.0,11138.0
2016.0,0.475285,5.0,1052.0
2016.0,0.797301,104.0,13044.0
2016.0,3.04288,110.0,3615.0
2016.0,1.02576,45.0,4387.0
2016.0,1.39111,139.0,9992.0
2016.0,0.299222,10.0,3342.0
2016.0,2.39391,110.0,4595.0
2016.0,1.2646,92.0,7275.0
2016.0,3.23104,239.0,7397.0
2016.0,2.59299,550.0,21211.0
2016.0,1.15142,245.0,21278.0
2016.0,0.500751,10.0,1997.0
2016.0,2.29704,1995.0,86851.0
2016.0,0.7109,21.0,2954.0
2016.0,1.12828,119.0,10547.0
2016.0,0.886824,21.0,2368.0
2016.0,0.654002,21.0,3211.0
2016.0,9.97278,403.0,4041.0
2016.0,7.63359,30.0,393.0
2016.0,2.40664,2124.0,88256.0
2016.0,2.69573,209.0,7753.0
2016.0,1.10894,17.0,1533.0
2016.0,1.35026,333.0,24662.0
2016.0,1.32763,59.0,4444.0
2016.0,2.00773,1091.0,54340.0
2016.0,1.66047,67.0,4035.0
2016.0,1.65078,71.0,4301.0
2016.0,0.0350018,1.0,2857.0
2016.0,6.7311,195.0,2897.0
2016.0,2.68346,1538.0,57314.0
2016.0,2.08473,31.0,1487.0
2016.0,1.00264,19.0,1895.0
2016.0,1.75686,860.0,48951.0
2016.0,0.93838,60.0,6394.0
2016.0,0.607287,27.0,4446.0
2016.0,1.60483,125.0,7789.0
2016.0,1.39493,356.0,25521.0
2016.0,2.33506,1071.0,45866.0
2016.0,0.81557,44.0,5395.0
2016.0,1.12648,114.0,10120.0
2016.0,0.691585,220.0,31811.0
2016.0,1.08338,267.0,24645.0
2016.0,1.52593,118.0,7733.0
2016.0,3.05013,536.0,17573.0
2016.0,1.87003,141.0,7540.0
2016.0,0.0269251,1.0,3714.0
2016.0,0.796266,29.0,3642.0
2016.0,1.28977,240.0,18608.0
2016.0,0.299057,13.0,4347.0
2016.0,2.95628,501.0,16947.0
2016.0,1.35644,155.0,11427.0
2016.0,1.62637,261.0,16048.0
2016.0,1.61309,280.0,17358.0
2016.0,0.654664,4.0,611.0
2016.0,0.951723,193.0,20279.0
2016.0,3.21187,171.0,5324.0
2016.0,1.01609,60.0,5905.0
2016.0,1.12638,173.0,15359.0
2016.0,0.337648,18.0,5331.0
2016.0,2.51108,170.0,6770.0
2016.0,1.25928,112.0,8894.0
2016.0,2.32558,243.0,10449.0
2016.0,2.49507,696.0,27895.0
2016.0,1.3005,320.0,24606.0
2016.0,0.616861,18.0,2918.0
2016.0,2.15431,1995.0,92605.0
2016.0,0.59952,30.0,5004.0
2016.0,0.952956,142.0,14901.0
2016.0,1.07108,44.0,4108.0
2016.0,0.369565,17.0,4600.0
2016.0,10.7746,466.0,4325.0
2016.0,3.26633,26.0,796.0
2016.0,2.40428,2464.0,102484.0
2016.0,2.65332,212.0,7990.0
2016.0,0.70373,10.0,1421.0
2016.0,1.67818,396.0,23597.0
2016.0,1.31547,54.0,4105.0
2016.0,2.07484,1114.0,53691.0
2016.0,1.25899,49.0,3892.0
2016.0,1.63164,66.0,4045.0
2016.0,0.177179,5.0,2822.0
2016.0,5.18868,154.0,2968.0
2016.0,2.82757,1486.0,52554.0
2016.0,2.86104,42.0,1468.0
2016.0,0.691358,14.0,2025.0
2016.0,1.89146,894.0,47265.0
2016.0,1.26388,74.0,5855.0
2016.0,0.385757,13.0,3370.0
2016.0,1.53499,102.0,6645.0
2016.0,0.709875,169.0,23807.0
2016.0,2.41573,1161.0,48060.0
2016.0,0.773196,42.0,5432.0
2016.0,1.08942,101.0,9271.0
2016.0,0.871126,267.0,30650.0
2016.0,1.86207,388.0,20837.0
2016.0,1.10247,78.0,7075.0
2016.0,2.79641,442.0,15806.0
2016.0,1.66839,113.0,6773.0
2016.0,0.12987,4.0,3080.0
2016.0,0.466708,15.0,3214.0
2016.0,1.9248,323.0,16781.0
2016.0,0.333847,13.0,3894.0
2016.0,3.02365,496.0,16404.0
2016.0,1.46254,163.0,11145.0
2016.0,1.45618,223.0,15314.0
2016.0,1.53331,252.0,16435.0
2016.0,1.26812,7.0,552.0
2016.0,1.02509,201.0,19608.0
2016.0,3.42868,175.0,5104.0
2016.0,1.07239,52.0,4849.0
2016.0,1.46324,208.0,14215.0
2016.0,0.328887,18.0,5473.0
2016.0,1.87075,110.0,5880.0
2016.0,0.993339,85.0,8557.0
2016.0,2.44096,246.0,10078.0
2016.0,3.06871,816.0,26591.0
2016.0,1.37566,335.0,24352.0
2016.0,0.401875,12.0,2986.0
2016.0,2.22633,2012.0,90373.0
2016.0,0.528493,23.0,4352.0
2016.0,1.19682,173.0,14455.0
2016.0,1.49144,61.0,4090.0
2016.0,0.762631,32.0,4196.0
2016.0,11.2342,507.0,4513.0
2016.0,1.99734,15.0,751.0
2016.0,2.66627,2779.0,104228.0
2016.0,3.84472,310.0,8063.0
2016.0,0.683995,10.0,1462.0
2016.0,2.02974,550.0,27097.0
2016.0,1.95973,73.0,3725.0
2016.0,2.37525,1190.0,50100.0
2016.0,1.4232,53.0,3724.0
2016.0,1.73439,70.0,4036.0
2016.0,0.145826,4.0,2743.0
2016.0,7.7642,216.0,2782.0
2016.0,3.15559,1544.0,48929.0
2016.0,3.72263,51.0,1370.0
2016.0,1.38484,19.0,1372.0
2016.0,2.09658,943.0,44978.0
2016.0,1.55739,81.0,5201.0
2016.0,0.363942,13.0,3572.0
2016.0,1.52184,100.0,6571.0
2016.0,1.04621,211.0,20168.0
2016.0,2.68997,1302.0,48402.0
2016.0,0.57398,27.0,4704.0
2016.0,1.35029,120.0,8887.0
2016.0,1.01981,313.0,30692.0
2016.0,1.7306,365.0,21091.0
2016.0,1.18233,76.0,6428.0
2016.0,3.57419,554.0,15500.0
2016.0,1.85009,136.0,7351.0
2016.0,0.196271,6.0,3057.0
2016.0,0.498287,16.0,3211.0
2016.0,1.45363,266.0,18299.0
2016.0,0.463679,18.0,3882.0
2016.0,3.67201,575.0,15659.0
2016.0,1.71569,175.0,10200.0
2016.0,1.47612,208.0,14091.0
2016.0,2.16034,294.0,13609.0
2016.0,0.0,0.0,534.0
2016.0,1.28297,233.0,18161.0
2016.0,5.09349,237.0,4653.0
2016.0,2.19922,102.0,4638.0
2016.0,1.83919,234.0,12723.0
2016.0,0.526118,28.0,5322.0
2016.0,2.67559,144.0,5382.0
2016.0,1.05459,85.0,8060.0
2016.0,2.26017,180.0,7964.0
2016.0,3.41272,887.0,25991.0
2016.0,1.8372,332.0,18071.0
2016.0,0.562852,15.0,2665.0
2016.0,2.31392,2072.0,89545.0
2016.0,1.35041,58.0,4295.0
2016.0,1.32006,175.0,13257.0
2016.0,0.935866,34.0,3633.0
2016.0,1.34497,57.0,4238.0
2016.0,9.98654,445.0,4456.0
2016.0,2.5788,18.0,698.0
2016.0,2.99057,3020.0,100984.0
2016.0,4.96494,347.0,6989.0
2016.0,1.27688,19.0,1488.0
2016.0,2.49073,591.0,23728.0
2016.0,1.61128,48.0,2979.0
2016.0,2.87829,1233.0,42838.0
2016.0,1.74142,66.0,3790.0
2016.0,1.80426,33.0,1829.0
2016.0,0.0785855,2.0,2545.0
2016.0,8.41715,159.0,1889.0
2016.0,4.19486,1928.0,45961.0
2016.0,2.86885,28.0,976.0
2016.0,1.21255,17.0,1402.0
2016.0,2.30118,978.0,42500.0
2016.0,1.45357,49.0,3371.0
2016.0,0.637233,14.0,2197.0
2016.0,2.37844,135.0,5676.0
2016.0,3.76962,413.0,10956.0
2016.0,3.30251,1618.0,48993.0
2016.0,0.692119,31.0,4479.0
2016.0,1.75352,142.0,8098.0
2016.0,1.1781,340.0,28860.0
2016.0,2.12636,348.0,16366.0
2016.0,2.19521,121.0,5512.0
2016.0,4.79193,722.0,15067.0
2016.0,2.28994,127.0,5546.0
2016.0,0.565171,16.0,2831.0
2016.0,0.942737,27.0,2864.0
2016.0,1.70873,283.0,16562.0
2016.0,0.563222,20.0,3551.0
2016.0,4.21506,646.0,15326.0
2016.0,2.06947,199.0,9616.0
2016.0,3.14039,389.0,12387.0
2016.0,2.96854,268.0,9028.0
2016.0,2.92887,14.0,478.0
2016.0,1.28987,201.0,15583.0
2016.0,4.39372,179.0,4074.0
2016.0,2.32236,67.0,2885.0
2016.0,1.94061,215.0,11079.0
2016.0,0.450212,17.0,3776.0
2016.0,2.12046,119.0,5612.0
2016.0,1.35915,113.0,8314.0
2016.0,2.87308,206.0,7170.0
2016.0,4.10321,951.0,23177.0
2016.0,3.2999,408.0,12364.0
2016.0,0.958606,22.0,2295.0
2016.0,2.89868,2552.0,88040.0
2016.0,2.45626,73.0,2972.0
2016.0,1.49617,246.0,16442.0
2016.0,1.57013,45.0,2866.0
2016.0,1.69361,66.0,3897.0
2016.0,12.1003,632.0,5223.0
2016.0,1.04322,7.0,671.0
2016.0,3.70624,3896.0,105120.0
2016.0,5.47445,345.0,6302.0
2016.0,1.60226,17.0,1061.0
2016.0,2.53802,479.0,18873.0
2016.0,2.30608,66.0,2862.0
2016.0,3.52608,1419.0,40243.0
2016.0,0.52356,2.0,382.0
2016.0,2.01806,38.0,1883.0
2016.0,0.106952,2.0,1870.0
2016.0,8.3007,106.0,1277.0
2016.0,4.48964,2084.0,46418.0
2016.0,3.2967,24.0,728.0
2016.0,2.698,31.0,1149.0
2016.0,3.06912,1234.0,40207.0
2016.0,3.36203,82.0,2439.0
2016.0,1.43392,23.0,1604.0
2016.0,2.27661,120.0,5271.0
2016.0,4.25743,473.0,11110.0
2016.0,3.69227,1938.0,52488.0
2016.0,1.04447,31.0,2968.0
2016.0,2.41278,148.0,6134.0
2016.0,1.55035,315.0,20318.0
2016.0,2.35249,366.0,15558.0
2016.0,2.33905,105.0,4489.0
2016.0,4.07867,730.0,17898.0
2016.0,4.06755,224.0,5507.0
2016.0,0.229489,4.0,1743.0
2016.0,1.00209,24.0,2395.0
